"sub" "cond" "rt" "accuracy"
"1" 1 1 0.81973681424936 1
"2" 1 1 0.640736814249359 1
"3" 1 1 0.55773681424936 1
"4" 1 1 1.16873681424936 1
"5" 1 1 0.82473681424936 1
"6" 1 1 0.528736814249359 1
"7" 1 1 0.524736814249359 0
"8" 1 1 1.01273681424936 0
"9" 1 1 1.19773681424936 1
"10" 1 1 0.96673681424936 1
"11" 1 1 0.56373681424936 1
"12" 1 1 0.82773681424936 1
"13" 1 1 0.81373681424936 1
"14" 1 1 0.926736814249359 1
"15" 1 1 1.82673681424936 1
"16" 1 1 0.626736814249359 0
"17" 1 1 2.33673681424936 1
"18" 1 1 0.604736814249359 1
"19" 1 1 0.72473681424936 1
"20" 1 1 0.632736814249359 0
"21" 1 1 1.08473681424936 0
"22" 1 1 0.671736814249359 1
"23" 1 1 0.998736814249359 1
"24" 1 1 0.857736814249359 1
"25" 1 1 0.784736814249359 1
"26" 1 1 0.650736814249359 1
"27" 1 1 0.673736814249359 0
"28" 1 1 0.83173681424936 0
"29" 1 1 0.59773681424936 1
"30" 1 1 0.703736814249359 1
"31" 1 1 0.604736814249359 0
"32" 1 1 0.631736814249359 1
"33" 1 1 0.471736814249359 1
"34" 1 1 0.388736814249359 1
"35" 1 1 0.395736814249359 0
"36" 1 1 0.449736814249359 1
"37" 1 1 0.928736814249359 0
"38" 1 1 0.464736814249359 1
"39" 1 1 0.468736814249359 1
"40" 1 1 2.96173681424936 0
"41" 1 1 0.81873681424936 0
"42" 1 1 0.551736814249359 1
"43" 1 1 0.82273681424936 1
"44" 1 1 0.703736814249359 1
"45" 1 1 2.36773681424936 1
"46" 1 1 0.798736814249359 0
"47" 1 1 0.61173681424936 1
"48" 1 1 0.492736814249359 1
"49" 1 1 0.871736814249359 1
"50" 1 1 0.723736814249359 1
"51" 1 1 0.713736814249359 1
"52" 1 1 0.439736814249359 1
"53" 1 1 0.530736814249359 1
"54" 1 1 0.82173681424936 0
"55" 1 1 0.80873681424936 1
"56" 1 1 0.924736814249359 1
"57" 1 1 0.60973681424936 1
"58" 1 1 0.496736814249359 1
"59" 1 1 0.68273681424936 1
"60" 1 1 0.800736814249359 1
"61" 1 1 0.875736814249359 1
"62" 1 1 0.796736814249359 1
"63" 1 1 1.86573681424936 1
"64" 1 1 1.28273681424936 1
"65" 1 1 0.423736814249359 1
"66" 1 1 0.398736814249359 1
"67" 1 1 0.610736814249359 1
"68" 1 1 0.666736814249359 1
"69" 1 1 0.671736814249359 1
"70" 1 1 0.641736814249359 1
"71" 1 1 1.28573681424936 1
"72" 1 1 0.545736814249359 1
"73" 1 1 0.513736814249359 1
"74" 1 1 0.914736814249359 0
"75" 1 1 1.94973681424936 1
"76" 1 1 0.757736814249359 0
"77" 1 1 0.791736814249359 1
"78" 1 1 2.42573681424936 1
"79" 1 1 0.763736814249359 1
"80" 1 1 0.779736814249359 1
"81" 1 1 1.41773681424936 1
"82" 1 1 0.42973681424936 1
"83" 1 1 1.16373681424936 1
"84" 1 1 0.568736814249359 1
"85" 1 1 0.540736814249359 1
"86" 1 1 0.847736814249359 1
"87" 1 1 0.789736814249359 0
"88" 1 1 1.27573681424936 1
"89" 1 1 2.43473681424936 1
"90" 1 1 0.402736814249359 1
"91" 1 1 0.911736814249359 1
"92" 1 1 1.37973681424936 1
"93" 1 1 1.28173681424936 1
"94" 1 1 1.01773681424936 1
"95" 1 1 1.74473681424936 1
"96" 1 1 0.606736814249359 0
"97" 1 1 0.57773681424936 1
"98" 1 1 0.57773681424936 1
"99" 1 1 0.473736814249359 0
"100" 1 1 0.923736814249359 1
"101" 1 1 1.13173681424936 1
"102" 1 1 1.42073681424936 1
"103" 1 1 2.21173681424936 1
"104" 1 1 0.656736814249359 1
"105" 1 1 1.42773681424936 1
"106" 1 1 0.70073681424936 1
"107" 1 1 0.784736814249359 1
"108" 1 1 0.748736814249359 1
"109" 1 1 1.13873681424936 1
"110" 1 1 0.745736814249359 1
"111" 1 1 0.493736814249359 1
"112" 1 1 0.68273681424936 1
"113" 1 1 0.634736814249359 1
"114" 1 1 0.650736814249359 1
"115" 1 1 0.484736814249359 0
"116" 1 1 1.59973681424936 1
"117" 1 1 1.07973681424936 1
"118" 1 1 0.470736814249359 0
"119" 1 1 0.582736814249359 1
"120" 1 1 0.553736814249359 1
"121" 1 1 0.904736814249359 0
"122" 1 1 0.81673681424936 1
"123" 1 1 0.55773681424936 1
"124" 1 1 1.44973681424936 1
"125" 1 1 0.502736814249359 1
"126" 1 1 0.659736814249359 1
"127" 1 1 0.705736814249359 0
"128" 1 1 0.60573681424936 1
"129" 1 1 0.529736814249359 1
"130" 1 1 0.610736814249359 1
"131" 1 1 0.925736814249359 1
"132" 1 1 1.00573681424936 1
"133" 1 1 0.43073681424936 1
"134" 1 1 1.83273681424936 1
"135" 1 1 1.51673681424936 1
"136" 1 1 1.36073681424936 1
"137" 1 1 0.83473681424936 1
"138" 1 1 1.11973681424936 1
"139" 1 1 0.463736814249359 1
"140" 1 1 0.792736814249359 1
"141" 1 1 0.645736814249359 1
"142" 1 1 0.504736814249359 1
"143" 1 1 0.645736814249359 1
"144" 1 1 0.707736814249359 1
"145" 1 1 0.459736814249359 1
"146" 1 1 0.901736814249359 1
"147" 1 1 0.671736814249359 1
"148" 1 1 1.02773681424936 1
"149" 1 1 0.501736814249359 1
"150" 1 1 2.11173681424936 1
"151" 1 1 0.58773681424936 1
"152" 1 1 0.361736814249359 1
"153" 1 1 2.15073681424936 1
"154" 1 1 0.641736814249359 1
"155" 1 1 0.427736814249359 1
"156" 1 1 0.617736814249359 1
"157" 1 1 0.457736814249359 1
"158" 1 1 0.856736814249359 1
"159" 1 1 1.03573681424936 0
"160" 1 1 0.977736814249359 1
"161" 1 1 0.502736814249359 1
"162" 1 1 0.751736814249359 1
"163" 1 1 1.98173681424936 1
"164" 1 1 1.78873681424936 1
"165" 1 1 1.49273681424936 1
"166" 1 1 0.509736814249359 1
"167" 1 1 0.406736814249359 1
"168" 1 1 0.405736814249359 1
"169" 1 1 0.479736814249359 1
"170" 1 1 0.788736814249359 1
"171" 1 1 0.778736814249359 1
"172" 1 1 1.77473681424936 1
"173" 1 1 0.789736814249359 1
"174" 1 1 0.442736814249359 1
"175" 1 1 0.423736814249359 1
"176" 1 1 0.574736814249359 1
"177" 1 1 0.413736814249359 1
"178" 1 1 1.64973681424936 1
"179" 1 1 0.655736814249359 1
"180" 1 1 1.21573681424936 1
"181" 1 1 0.379736814249359 1
"182" 1 1 0.612736814249359 1
"183" 1 1 1.98673681424936 1
"184" 1 1 1.05473681424936 1
"185" 1 1 0.869736814249359 1
"186" 1 1 1.03073681424936 1
"187" 1 1 1.40773681424936 1
"188" 1 1 0.68273681424936 1
"189" 1 1 0.697736814249359 0
"190" 1 1 0.604736814249359 1
"191" 1 1 0.59373681424936 1
"192" 1 1 0.735736814249359 1
"193" 1 1 0.388736814249359 1
"194" 1 1 0.453736814249359 0
